Item	Frequency
incompetence	0.0162
bills	0.0162
stories	0.0162
treatments	0.0162
no covid	0.0161
uttar pradesh	0.0161
covid pandemic	0.0161
sri lanka	0.0161
peoples lives	0.016
moscow	0.016
filipinos	0.016
phase	0.016
security	0.016
covid crisis	0.0159
coronavirus deaths	0.0159
icu beds	0.0159
evening	0.0159
evictions	0.0158
n95 masks	0.0157
latin america	0.0157
cov-2	0.0157
cops	0.0157
production	0.0157
gov	0.0157
voting	0.0156
idiots	0.0156
source	0.0156
no vaccine	0.0155
family members	0.0155
black lives	0.0155
cash	0.0155
votes	0.0155
visitors	0.0155
jim jordan	0.0154
unemployment benefits	0.0154
calls	0.0154
marjorie taylor greene	0.0153
covid numbers	0.0153
world war ii	0.0153
covid protocols	0.0152
syria	0.0152
coronavirus outbreak	0.0152
disabled people	0.0151
new variants	0.0151
youth	0.0151
golf	0.0151
tier	0.0151
guns	0.0151
ballots	0.015
patient	0.015
changes	0.0149
fox	0.0149
msnbc	0.0149
opening	0.0149
gilead	0.0149
christian	0.0148
accountability	0.0148
great news	0.0147
elon musk	0.0147
narendra modi	0.0147
confirmed cases	0.0147
austin	0.0147
mortality	0.0147
pain	0.0147
gloves	0.0146
transparency	0.0146
contact tracing	0.0145
north dakota	0.0145
nashville	0.0145
party	0.0145
hillary	0.0144
zoom	0.0144
parts	0.0144
bodies	0.0144
costco	0.0144
inflation	0.0144
conspiracy theories	0.0143
glasgow	0.0143
influenza	0.0143
shops	0.0143
yemen	0.0143
videos	0.0143
plenty	0.0143
omicron variant	0.0142
gatherings	0.0142
compassion	0.0142
nepal	0.0142
gyms	0.0142
trump supporters	0.0141
queensland	0.0141
laws	0.0141
kushner	0.0141
fraud	0.0141
groups	0.014
pune	0.014
hate	0.014
stupidity	0.014
cages	0.0139
board	0.0139
wuhan lab	0.0138
home order	0.0138
sturgis	0.0138
debt	0.0138
uganda	0.0138
recent weeks	0.0137
amit shah	0.0137
job	0.0137
advantage	0.0137
single-day	0.0137
weekend	0.0137
success	0.0137
development	0.0137
switzerland	0.0137
manchester	0.0137
dogs	0.0137
californians	0.0137
finland	0.0137
passports	0.0137
chris whitty	0.0136
asians	0.0136
medicines	0.0136
severe disease	0.0135
delta variant	0.0135
pregnant women	0.0135
marco rubio	0.0135
covid-19 pandemic	0.0135
about #covid19	0.0135
zimbabwe	0.0135
colin powell	0.0135
boston	0.0135
japanese	0.0135
post	0.0134
barrett	0.0134
kenney	0.0134
polio	0.0134
christmas day	0.0133
physical distancing	0.0133
nigerian	0.0133
chris christie	0.0132
positive cases	0.0132
modi govt	0.0132
abc	0.0132
reporters	0.0132
taxpayers	0.0132
governor	0.0132
side effects	0.0131
no pandemic	0.0131
face coverings	0.0131
pandemics	0.0131
halloween	0.0131
new year	0.013
jen psaki	0.0129
white people	0.0129
barack obama	0.0129
egypt	0.0129
cost	0.0129
portugal	0.0129
rsv	0.0129
michael gove	0.0128
jason kenney	0.0128
woodward	0.0128
benghazi	0.0128
idaho	0.0128
