Item	Frequency
side effect	0.0216
astrazeneca	0.0216
mcconnell	0.0215
covid crisis	0.0214
maharashtra	0.0214
weekend	0.0213
trillion	0.0212
cm	0.0212
new death	0.0211
disgusting	0.0211
alone	0.0211
ðÿ ̃	0.021
last week	0.021
report	0.021
sa	0.0209
worried	0.0208
false	0.0207
trudeau	0.0207
nobody	0.0206
politicians	0.0206
indoor	0.0205
briefing	0.0205
irresponsible	0.0205
curfew	0.0204
ready	0.0204
monday	0.0204
positive case	0.0203
china virus	0.0203
facts	0.0203
giving	0.0202
before	0.0202
conspiracy theory	0.02
gov.	0.02
today''s	0.02
proud	0.02
administer	0.02
lied	0.0199
hancock	0.0199
yeah	0.0199
talk	0.0199
omicron variant	0.0198
parents	0.0198
reopening	0.0197
disaster	0.0197
wtf	0.0197
dont	0.0196
birthday	0.0196
long covid	0.0195
airborne	0.0195
sweden	0.0195
restaurants	0.0195
respiratory	0.0195
china''s	0.0195
miss	0.0192
till	0.0191
vs	0.0191
big	0.0191
hospitalizations	0.0189
midst	0.0189
plz	0.0189
pharma	0.0189
covid infection	0.0188
shri	0.0188
gates	0.0187
passed	0.0187
incompetent	0.0186
survive	0.0186
mom	0.0186
avoid	0.0186
wuhan lab	0.0185
hydroxychloroquine	0.0185
watching	0.0185
orders	0.0185
cough	0.0184
natural immunity	0.0183
voters	0.0183
rates	0.0183
italy	0.0183
positivity rate	0.0182
care worker	0.0182
dad	0.0182
precaution	0.0182
excuse	0.0181
knows	0.0181
disinformation	0.0181
life	0.0181
brazil	0.0181
rallies	0.018
curve	0.018
crazy	0.018
first time	0.018
post-covid	0.0179
keeping	0.0179
nonsense	0.0178
meanwhile	0.0178
efficacy	0.0178
new coronavirus case	0.0177
let''s	0.0177
cancelled	0.0177
eviction	0.0177
lack	0.0177
reality	0.0177
covid response	0.0176
bts	0.0176
kerala	0.0176
korea	0.0176
free	0.0176
losing	0.0175
devastating	0.0175
pneumonia	0.0175
federal	0.0175
others	0.0175
teachers	0.0174
residents	0.0174
force	0.0174
gatherings	0.0173
ill	0.0173
covid-19 infection	0.0172
fatality	0.0172
catch	0.0172
neet	0.0171
wake	0.0171
scam	0.0171
people''s	0.0171
other country	0.0171
scotland	0.017
scared	0.017
admin	0.017
south africa	0.0169
jee	0.0169
omg	0.0169
ahead	0.0169
wish	0.0169
billionaire	0.0169
scare	0.0168
announced	0.0168
refused	0.0167
pcr test	0.0166
president biden	0.0166
infection rate	0.0166
icu bed	0.0166
voted	0.0166
reason	0.0166
covid testing	0.0165
safely	0.0165
government''s	0.0164
tells	0.0164
dies	0.0164
im	0.0164
nigeria	0.0164
mean	0.0163
joke	0.0162
cummings	0.0162
abbott	0.0162
deadly pandemic	0.0161
fox	0.0161
county	0.0161
governors	0.016
outbreaks	0.0158
msm	0.0158
beds	0.0158
single day	0.0157
hospitalized	0.0157
junta	0.0157
health worker	0.0156
precautions	0.0156
supposed	0.0156
ny	0.0156
post	0.0156
ron	0.0156
covid-19 outbreak	0.0155
test result	0.0155
thinks	0.0155
in-person	0.0155
tories	0.0155
r	0.0155
र	0.0154
debate	0.0154
covid outbreak	0.0153
immune system	0.0153
afraid	0.0153
pray	0.0153
staying	0.0152
black	0.0152
first dose	0.0151
amidst	0.0151
covid relief bill	0.015
strategy	0.015
spreader	0.015
positive test	0.0149
cares	0.0149
moron	0.0149
health expert	0.0148
obama	0.0148
clot	0.0148
dm	0.0147
lmao	0.0147
mail	0.0147
thanksgiving	0.0147
june	0.0147
breaking news	0.0146
essential worker	0.0146
mitch	0.0146
stupidity	0.0146
task	0.0146
last night	0.0146
social medium	0.0146
far	0.0146
rapid	0.0145
covid protocol	0.0144
post-pandemic	0.0144
new york	0.0144
covid-19 relief	0.0143
knew	0.0143
unemployed	0.0143
bro	0.0143
dem	0.0143
booster shot	0.0142
biden administration	0.0142
pandemic situation	0.0142
shutdown	0.0142
fake news	0.0141
app	0.0141
afford	0.0141
without	0.0141
anti-vaxxer	0.0141
shameful	0.014
dr. fauci	0.014
covid passport	0.0139
trace	0.0139
leader	0.0139
illegal	0.0139
health care worker	0.0138
covid-19 crisis	0.0138
ignore	0.0138
tired	0.0138
task force	0.0138
high risk	0.0137
anti-lockdown	0.0136
ignored	0.0136
protecting	0.0136
paying	0.0136
okay	0.0136
amazing	0.0136
covid variant	0.0135
covid situation	0.0135
close contact	0.0135
act	0.0135
treatment	0.0135
supreme	0.0134
super	0.0134
unvaccinated people	0.0133
pre	0.0133
pathetic	0.0133
pre-pandemic	0.0133
georgia	0.0133
covid rule	0.0132
vaccine rollout	0.0132
mumbai	0.0132
coronavirus infection	0.0131
warned	0.0131
anymore	0.0131
cities	0.0131
