Item	Frequency	Score
negative covid	49	5.355
covid hoax	49	5.355
spread of covid	49	5.355
month of lockdown	50	5.348
coronavirus task force	51	5.348
covid pneumonia	49	5.346
fuck home	49	5.339
zoom call	54	5.331
paris climate	75	5.330
flu case	54	5.324
long hauler	49	5.323
essential work	58	5.320
covid concern	49	5.318
flow test	52	5.315
ontario government	66	5.303
gop member	52	5.291
rest in peace	77	5.287
vaccine recipient	50	5.287
president cyril ramaphosa	50	5.276
full national lockdown	48	5.264
death figure	49	5.256
marjorie taylor greene	48	5.253
total number of deaths	51	5.251
vaccine access	48	5.240
experimental vaccine	51	5.231
daily record	67	5.229
encouraging people	82	5.225
asymptomatic people	49	5.217
live news	52	5.214
asymptomatic case	49	5.204
people positive	47	5.179
dose of the coronavirus vaccine	47	5.179
variant of coronavirus	47	5.179
caught covid	47	5.179
middle of pandemic	47	5.178
dose of coronavirus vaccine	47	5.177
coronavirus mutation	47	5.172
test today	51	5.172
health dept	48	5.169
fake pandemic	47	5.168
american death	51	5.165
fucking idiot	52	5.164
uni student	50	5.162
dominic cummings	49	5.160
global death	49	5.154
small business	896	5.149
first consignment	48	5.147
health system	263	5.139
practicing social distancing	49	5.136
bow wow	52	5.133
late fee	80	5.127
daily figure	47	5.118
fear mongering	54	5.107
end in sight	69	5.105
stage of the pandemic	47	5.097
lockdown fanatic	46	5.092
covid mutation	46	5.091
vice president-elect	50	5.089
trump virus	46	5.081
covid stuff	46	5.079
federal govt	48	5.076
warp speed	53	5.067
grieving family	54	5.060
david perdue	47	5.053
bird flu	88	5.053
new positive case	47	5.052
contact tracer	50	5.047
avoidable death	49	5.037
house chamber	49	5.031
vaccine candidate	60	5.031
covid-19 travel restriction	46	5.022
minimum wage	312	5.017
johns hopkins university	98	5.014
covid-19 vaccine appointment	45	5.003
strain of covid	45	5.002
severe allergic reaction	51	5.000
winter lockdown	45	4.996
new yorkers	131	4.996
new covid case	45	4.996
ford government	47	4.994
double mask	45	4.993
vaccine for emergency	45	4.984
economic crisis	199	4.984
covid-19 exposure	47	4.982
first day in office	48	4.982
pfizer-biontech vaccine	45	4.981
covid-19 impact	50	4.977
entire population	93	4.975
deadly disease	65	4.973
cost life	46	4.967
community case	46	4.967
positive coronavirus	46	4.964
free school	83	4.957
intensive care unit	95	4.955
covid-19 positive	45	4.930
mass gathering	51	4.930
mike pence	54	4.928
term effect	63	4.920
national debt	102	4.918
lockdown last year	44	4.914
other news visit	44	4.914
covid deaths today	44	4.913
anti masker	44	4.912
vaccine yesterday	44	4.911
coronavirus relief package	45	4.910
min wage	45	4.909
coronavirus plan	44	4.906
covid season	44	4.904
vaccine for emergency use	44	4.899
difficult time	214	4.894
vaccine maker	46	4.887
pay rise	67	4.885
news visit	44	4.884
long term effect	59	4.884
new mutation	48	4.883
self isolation	45	4.882
world news	64	4.879
right thing	342	4.878
negative result	73	4.876
hundred of thousands	342	4.875
cases yesterday	44	4.872
coronavirus rule	44	4.871
bruce willis	59	4.870
end of the pandemic	44	4.867
red state	64	4.864
quarantine rule	45	4.862
may allah	53	4.857
rich country	77	4.855
ccp virus	44	4.843
loss of smell	45	4.841
whole year	98	4.841
selfish people	46	4.836
new confirmed case	46	4.833
field hospital	61	4.832
airborne transmission	45	4.832
long term care	74	4.828
last spring	115	4.827
height of the pandemic	44	4.827
nin registration	43	4.825
