Item	Frequency	Score
approval rating	17	1.115
ten of millions	17	1.115
other nation	17	1.115
taking advantage	17	1.115
board exam	17	1.115
lung damage	17	1.115
lockdown regulation	17	1.115
number of new cases	17	1.115
strict lockdown	17	1.115
long way	17	1.115
fear mongering	17	1.115
community spread	17	1.115
key worker	17	1.115
home death	17	1.115
daily death	17	1.115
voter fraud	17	1.115
care facility	17	1.115
new world	17	1.115
daily basis	17	1.115
federal funding	16	1.108
lakh case	16	1.108
large number	16	1.108
police department	16	1.108
private sector	16	1.108
piece of shit	16	1.108
bame community	16	1.108
entire country	16	1.108
nhs staff	16	1.108
covid-19 datum	16	1.108
case in the state	16	1.108
small business owner	16	1.108
us state	16	1.108
middle class	16	1.108
good health	16	1.108
end in sight	16	1.108
cloth mask	16	1.108
sexual assault	16	1.108
covid thing	16	1.108
virus pandemic	16	1.108
covid symptom	16	1.108
rubber bullet	16	1.108
rights movement	16	1.108
part of the country	16	1.108
time of pandemic	16	1.108
time of #covid19	16	1.108
pandemic crisis	16	1.108
premier league	16	1.108
civil rights movement	16	1.108
increase in coronavirus	16	1.108
fucking pandemic	16	1.108
ten of thousands of people	16	1.108
confirmed coronavirus	16	1.108
other way	16	1.108
covid hospitalization	16	1.108
breonna taylor	16	1.108
tax cut	16	1.108
world beating	16	1.108
racial justice	16	1.108
zip code	16	1.108
virus case	16	1.108
stimulus check	16	1.108
blood donation	16	1.108
home resident	16	1.108
many case	16	1.108
delhi hospital	16	1.108
coronavirus disease	16	1.108
police force	16	1.108
new positive case	16	1.108
medical student	16	1.108
virus outbreak	16	1.108
single-day spike	16	1.108
mask order	16	1.108
coronavirus surge	16	1.108
post #covid19	16	1.108
few minute	16	1.108
important thing	16	1.108
number of new coronavirus cases	16	1.108
exam center	15	1.101
second lockdown	15	1.101
showing symptom	15	1.101
police violence	15	1.101
senior citizen	15	1.101
coming week	15	1.101
movie theater	15	1.101
cases yesterday	15	1.101
trump''s campaign	15	1.101
washington post	15	1.101
case of corona	15	1.101
bad news	15	1.101
baba ramdev	15	1.101
global warming	15	1.101
ayurvedic medicine	15	1.101
trade deal	15	1.101
global economy	15	1.101
close proximity	15	1.101
little bit	15	1.101
covid shit	15	1.101
economic growth	15	1.101
pandemic go	15	1.101
vice president mike pence	15	1.101
medical expert	15	1.101
reopening plan	15	1.101
testing center	15	1.101
texas medical center	15	1.101
full video	15	1.101
imran khan	15	1.101
ï ̧ ðÿ	15	1.101
related death	15	1.101
fuel price	15	1.101
mask mandate	15	1.101
couple of weeks	15	1.101
only country	15	1.101
recent week	15	1.101
coronavirus testing site	15	1.101
human trial	15	1.101
disproportionate impact	15	1.101
blue state	15	1.101
coronavirus risk	15	1.101
food market	15	1.101
amit shah	15	1.101
food security	15	1.101
whole country	15	1.101
taking place	15	1.101
stay safe	15	1.101
democrat governor	15	1.101
first year	15	1.101
public service	15	1.101
coronavirus fear	15	1.101
coronavirus hospitalization	15	1.101
next day	15	1.101
corona time	15	1.101
billion contact	15	1.101
billion contact tracing deal	15	1.101
plasma donor	15	1.101
current situation	15	1.101
early day	15	1.101
puzzle book	15	1.101
mandatory mask	15	1.101
advance team	15	1.101
emergency room	15	1.101
gun violence	15	1.101
friday night	15	1.101
mainstream medium	15	1.101
measure in place	15	1.101
contact tracing deal	15	1.101
tracing deal	15	1.101
increase in coronavirus cases	15	1.101
social care	15	1.101
à ̈	14	1.095
european union	14	1.095
colored population	14	1.095
covid-19 impact	14	1.095
bank account	14	1.095
money with social media	14	1.095
personal responsibility	14	1.095
migrant child	14	1.095
johns hopkins university	14	1.095
care unit	14	1.095
enclosed space	14	1.095
covid vaccine	14	1.095
safety precaution	14	1.095
covid time	14	1.095
trace system	14	1.095
election day	14	1.095
corona death	14	1.095
जल ि	14	1.095
elected official	14	1.095
campaign staff	14	1.095
economic downturn	14	1.095
asylum seeker	14	1.095
time of crisis	14	1.095
harris county	14	1.095
republican party	14	1.095
other word	14	1.095
de blasio	14	1.095
dead body	14	1.095
incubation period	14	1.095
doing something	14	1.095
humble request	14	1.095
super spreader	14	1.095
students life	14	1.095
bok center	14	1.095
many other	14	1.095
hospital capacity	14	1.095
straight day	14	1.095
white woman	14	1.095
american history	14	1.095
public transit	14	1.095
black ppl	14	1.095
long-term care	14	1.095
