Item	Frequency	Score
stupidity	32	6.342
rescind	24	6.338
tomorrow	285	6.335
ioannidis	8	6.326
authoritarian	37	6.319
wapo	11	6.312
farmworker	13	6.293
infectious	84	6.274
kombucha	11	6.271
preventable	23	6.259
ossoff	8	6.253
lol	175	6.248
wearing	12	6.247
undercount	9	6.234
anil	16	6.229
patients	21	6.224
ke	21	6.194
scam	86	6.187
hcw	8	6.185
capita	44	6.158
क	9	6.147
murkowski	10	6.140
tw	17	6.138
ducey	9	6.130
impeach	21	6.109
dodgy	19	6.105
brexit	92	6.096
kanon	8	6.078
journo	9	6.075
illegal	300	6.069
pre	80	6.051
ðÿ3	7	6.049
convalescent	11	6.049
šðÿ	7	6.047
ðÿœ	7	6.046
kung-flu	7	6.045
b-positive	7	6.034
asian	275	6.032
a-positive	7	6.025
feigl-ding	7	6.024
sars	16	6.012
thaali	7	6.011
vaccin	7	6.001
anti-covid	7	5.996
tegnell	7	5.983
dm	43	5.980
vocs	10	5.980
mismanagement	18	5.956
sinas	7	5.951
seditionist	7	5.939
hardest	16	5.937
nursing	227	5.936
wk	15	5.934
skyrocket	25	5.932
unemployment	142	5.932
lyft	15	5.928
phyo	7	5.921
positive	807	5.913
modiji	7	5.896
aoty	7	5.893
crisis	526	5.892
ikon	9	5.885
stfu	8	5.879
transmissible	9	5.874
re-open	15	5.870
finna	7	5.858
sanitise	10	5.842
jcvi	7	5.828
immunisation	14	5.828
shameless	17	5.825
ka	30	5.822
recovery	412	5.820
panic	107	5.817
pre-register	10	5.815
sociopath	12	5.811
sa	83	5.781
stupid	181	5.767
moratorium	26	5.766
bday	8	5.762
obese	34	5.756
presser	10	5.755
ema	15	5.747
undocumented	31	5.740
decimate	21	5.738
beshear	9	5.735
yo-yo	12	5.733
shot	542	5.731
cummings	23	5.726
bipartisan	38	5.721
न	8	5.721
ontario	208	5.716
tablighi	7	5.714
prolong	28	5.706
nonsense	68	5.694
vote	986	5.678
herd	83	5.664
djt	7	5.658
wiv	7	5.649
botch	11	5.647
nanded	7	5.646
gavi	8	5.642
governor	402	5.638
devastating	78	5.637
bjp	53	5.632
cking	9	5.625
congratulations	14	5.598
ज	7	5.594
drive-thru	10	5.585
brunt	18	5.582
unaccompanied	15	5.567
becerra	8	5.560
shoutout	8	5.546
normality	13	5.545
odinga	8	5.540
congrats	28	5.538
huffpost	9	5.534
bestie	8	5.533
shutdown	52	5.531
tanzania	42	5.529
stay	1271	5.524
protest	352	5.517
buhari	14	5.513
unspent	8	5.513
conspiracy	111	5.508
rona	9	5.508
hafta	7	5.505
machakos	7	5.503
byline	12	5.493
pathetic	37	5.484
thali	7	5.484
fearmongering	7	5.480
ह	7	5.478
caputo	8	5.478
outrage	60	5.477
repub	8	5.477
clown	43	5.468
elon	16	5.445
bigotry	20	5.445
keir	9	5.442
appointment	309	5.435
cancel	220	5.398
needlessly	14	5.388
single-dose	7	5.386
inaction	19	5.386
damn	141	5.382
chinese-made	7	5.377
yesterday	338	5.372
prioritize	34	5.367
neutralization	9	5.363
yup	22	5.361
samia	7	5.353
lemme	9	5.341
fuckin	14	5.337
شفقت_انکل_ہمیں_پڑھنے_دو	6	5.328
تكليف_الصيادله_ياريس	6	5.328
트레저	6	5.328
teazen	6	5.328
covid-status	6	5.327
kmedia	6	5.327
ðÿtmðÿ	6	5.326
lockdowner	6	5.326
cbp	15	5.326
covid-denier	6	5.325
drugmaker	8	5.320
who-china	6	5.319
astrazeneca-oxford	6	5.317
thackeray	11	5.316
kolelas	6	5.316
suluhu	6	5.315
vaxed	6	5.314
jacinda	8	5.309
vlive	6	5.308
scamdemic	6	5.308
vote-a-rama	6	5.307
lmaoo	6	5.304
kemsa	6	5.299
