Item	Frequency
leader	0.0151
stupidity	0.0151
ð	0.0151
treat	0.0151
feel	0.0151
covid outbreak	0.015
positive test	0.015
alert	0.015
supposed	0.015
fake news	0.0149
hospitalized	0.0149
tho	0.0149
cities	0.0149
र	0.0148
bbc	0.0148
obama	0.0148
clot	0.0148
icu bed	0.0147
cares	0.0147
rates	0.0147
kerala	0.0147
high risk	0.0146
thru	0.0146
afraid	0.0146
mayor	0.0146
covid protocol	0.0145
essential worker	0.0145
hai	0.0145
dad	0.0145
governors	0.0144
tories	0.0144
liar	0.0144
stopped	0.0144
rn	0.0144
communities	0.0144
brazil	0.0144
honestly	0.0143
booster shot	0.0142
pandemic situation	0.0142
covid-19 crisis	0.0142
influenza	0.0142
single day	0.0141
warns	0.0141
flights	0.0141
deadly pandemic	0.014
ignore	0.014
cummings	0.014
friday	0.014
black	0.014
health expert	0.0139
protecting	0.0139
social medium	0.0139
italy	0.0139
total case	0.0138
canada	0.0138
vaccination rate	0.0137
vaccine rollout	0.0137
novel coronavirus	0.0137
kindly	0.0137
covid situation	0.0136
covid-19 testing	0.0136
mumbai	0.0136
cuz	0.0136
bitch	0.0136
prison	0.0135
tier	0.0134
close contact	0.0133
health care worker	0.0133
coronavirus infection	0.0133
unemployed	0.0133
webinar	0.0133
anti-lockdown	0.0133
admin	0.0133
good news	0.0132
infectious disease	0.0132
neet	0.0132
rent	0.0132
ventilation	0.0132
shows	0.0132
good morning	0.0131
afford	0.0131
tired	0.0131
anti-vaxxer	0.0131
second dose	0.013
covid-19 relief	0.013
trials	0.013
pushing	0.013
number	0.013
covid variant	0.0129
n95 mask	0.0129
warned	0.0129
warning	0.0129
super	0.0129
blood component	0.0129
new york	0.0129
debate	0.0128
locked	0.0128
na	0.0128
ignorant	0.0128
breakthrough	0.0128
freedom	0.0128
viruses	0.0127
ignored	0.0127
cant	0.0127
terrible	0.0127
stay-at-home	0.0127
covid shot	0.0126
covid number	0.0126
health crisis	0.0126
knew	0.0126
fault	0.0126
sadly	0.0126
fraud	0.0126
tough	0.0126
dealing	0.0126
aid	0.0126
young people	0.0126
break	0.0126
protocols	0.0125
refused	0.0125
glad	0.0125
yall	0.0125
send	0.0125
az	0.0125
last night	0.0125
covid rule	0.0124
president biden	0.0124
shameful	0.0124
korea	0.0124
end	0.0124
corrupt	0.0123
dude	0.0123
hospitalisation	0.0123
mutate	0.0123
increase	0.0123
hours	0.0123
look	0.0123
biden administration	0.0122
covid-19 restriction	0.0122
shocking	0.0122
everywhere	0.0122
abbott	0.0122
must	0.0122
