Item	Frequency
coronavirus patients	0.012
yemen	0.012
passports	0.012
johns hopkins university	0.0119
over a year	0.0119
recent weeks	0.0119
devin nunes	0.0119
policies	0.0119
postponement	0.0119
cops	0.0119
mark meadows	0.0118
treatments	0.0118
severe disease	0.0117
debt	0.0117
manchester	0.0117
accountability	0.0117
trust	0.0117
hicks	0.0117
sports	0.0116
nbc	0.0116
security	0.0116
videos	0.0116
nepal	0.0116
no way	0.0115
stimulus checks	0.0115
first time	0.0114
health experts	0.0114
barr	0.0114
floods	0.0114
colleges	0.0113
vacation	0.0113
abc	0.0113
bodies	0.0113
yangon	0.0113
booster shots	0.0112
johns hopkins	0.0112
lockdown restrictions	0.0112
ssc	0.0112
centre	0.0112
orange county	0.0111
seoul	0.0111
hubei	0.0111
health care workers	0.011
hindus	0.011
instagram	0.011
sage	0.011
egypt	0.011
msnbc	0.011
coronavirus infections	0.0109
sturgis	0.0109
kellyanne conway	0.0109
merck	0.0109
palliatives	0.0109
christmas eve	0.0108
gretchen whitmer	0.0108
stephen miller	0.0108
changes	0.0108
capitol	0.0108
cpac	0.0108
how covid	0.0107
rahul gandhi	0.0107
gatherings	0.0107
job	0.0107
nation	0.0107
compassion	0.0107
finland	0.0107
poland	0.0107
asians	0.0107
coronavirus testing	0.0107
bill barr	0.0107
severe illness	0.0106
medical care	0.0106
discrimination	0.0106
serious illness	0.0105
steven mnuchin	0.0105
homelessness	0.0105
systemic racism	0.0105
faith	0.0105
joy	0.0105
cost	0.0105
greece	0.0105
polio	0.0105
gain	0.0105
heart disease	0.0104
emergency use	0.0104
covid contracts	0.0104
coronavirus vaccines	0.0104
switzerland	0.0104
costco	0.0104
kenney	0.0104
addition	0.0104
austin	0.0104
christian	0.0104
governor	0.0104
rss	0.0104
hillary clinton	0.0103
chris wallace	0.0102
pandemics	0.0102
bills	0.0102
vaccination status	0.0101
nashville	0.0101
antifa	0.0101
impeachment	0.0101
detroit	0.0101
rest	0.0101
taxpayers	0.0101
efficacy	0.0101
hospital beds	0.01
no social distancing	0.01
panic buying	0.01
corona cases	0.01
potus	0.01
brits	0.01
wealth	0.01
ugc	0.01
advantage	0.01
healthy people	0.0099
no plan	0.0099
peter daszak	0.0099
another day	0.0099
cash	0.0099
eid	0.0099
lebanon	0.0099
party	0.0099
capitalism	0.0099
aids	0.0099
booster	0.0099
pcr tests	0.0098
covid times	0.0098
sant shri	0.0098
atlas	0.0098
benghazi	0.0098
brooklyn	0.0098
dogs	0.0098
syria	0.0098
italian	0.0098
hospitalisations	0.0098
china virus	0.0097
bleach	0.0097
irish	0.0097
churches	0.0097
hate	0.0097
visitors	0.0097
barack obama	0.0096
gandhi	0.0096
brazilian	0.0096
consequences	0.0096
tyranny	0.0096
anti-asian	0.0096
covid mandates	0.0095
infectious diseases	0.0095
medical supplies	0.0095
zoom	0.0095
speaker pelosi	0.0095
working families	0.0095
leicester	0.0095
laws	0.0095
covid response	0.0094
new study	0.0094
min age limit	0.0094
dose1 capacity	0.0094
dose2 capacity	0.0094
abc news	0.0094
development	0.0094
jimin	0.0094
dr. birx	0.0094
american history	0.0094
nigerian	0.0094
kejriwal	0.0094
social security	0.0094
illegal immigrants	0.0093
new covid cases	0.0093
cdc director	0.0093
matt gaetz	0.0093
hillary	0.0093
employment	0.0093
auckland	0.0093
filipinos	0.0093
board	0.0093
assistance	0.0093
variant	0.0093
influenza	0.0093
ahmedabad	0.0093
mike lee	0.0093
neil ferguson	0.0092
covid infection	0.0092
glasgow	0.0092
stupidity	0.0092
mr. president	0.0092
arms	0.0092
distribution	0.0092
babies	0.0092
harvard	0.0092
rebekah jones	0.0091
nazis	0.0091
queensland	0.0091
endsars	0.0091
no time	0.009
covid vaccinations	0.009
daniel andrews	0.009
africans	0.009
abuja	0.009
alcohol	0.009
alaska	0.009
myanmarneedso2	0.009
first case	0.0089
dan crenshaw	0.0089
vaccine hesitancy	0.0089
no lockdown	0.0089
coronavirus restrictions	0.0089
clinical trials	0.0089
mark zuckerberg	0.0089
production	0.0089
freedoms	0.0089
californians	0.0089
whatshappeninginmyanmar	0.0089
sick leave	0.0088
robert redfield	0.0088
purpose	0.0088
chief	0.0088
parts	0.0088
records	0.0088
coronavirus relief	0.0088
strike	0.0088
tom brady	0.0087
dr. anthony fauci	0.0087
world war ii	0.0087
weekend	0.0087
fraud	0.0087
trump administration	0.0087
anger	0.0087
holidays	0.0087
orlando	0.0087
one-day	0.0087
hospitalisation	0.0087
bapu	0.0087
travel restrictions	0.0086
human life	0.0086
covid treatment	0.0086
zero covid	0.0086
blm	0.0086
prices	0.0086
challenges	0.0086
riots	0.0086
refugees	0.0086
conservatives	0.0086
hannity	0.0086
offline exams	0.0085
public places	0.0085
communist china	0.0085
american airlines	0.0085
first day	0.0085
good health	0.0085
bail	0.0085
rapid tests	0.0084
angela merkel	0.0084
west virginia	0.0084
new yorkers	0.0084
hand sanitizer	0.0084
pres	0.0084
post	0.0084
housing	0.0084
approval	0.0084
bernie sanders	0.0084
fever	0.0084
vermont	0.0084
permission	0.0084
rights	0.0084
richard burr	0.0083
vitamin d	0.0083
world war	0.0083
physicians	0.0083
measles	0.0083
excess deaths	0.0082
north america	0.0082
google	0.0082
reason	0.0082
roger stone	0.0082
denial	0.0082
sac	0.0082
smallpox	0.0082
jesus	0.0082
chris cuomo	0.0081
vaccine distribution	0.0081
corona pandemic	0.0081
scotus	0.0081
fines	0.0081
obesity	0.0081
supply	0.0081
illegals	0.0081
question	0.0081
covishield	0.0081
jacksonville	0.0081
young adults	0.008
xi jinping	0.008
arvind kejriwal	0.008
korean	0.008
cms	0.008
survival	0.008
bernie	0.008
appointments	0.008
bangkok	0.008
jabs	0.008
full lockdown	0.0079
deborah birx	0.0079
astrazeneca vaccine	0.0079
military dictatorship	0.0079
sabah	0.0079
groups	0.0079
bill clinton	0.0079
espn	0.0079
nebraska	0.0079
contracts	0.0079
mainland china	0.0079
big tech	0.0078
insider trading	0.0078
dolly parton	0.0078
strength	0.0078
signs	0.0078
army	0.0078
crime	0.0078
hollywood	0.0078
labour	0.0078
personal responsibility	0.0077
flu season	0.0077
global pandemic	0.0077
washington state	0.0077
vegas	0.0077
favor	0.0077
debate	0.0077
tanzania	0.0077
easter	0.0077
whitmer	0.0077
birth	0.0077
bangalore	0.0077
regeneron	0.0077
covid-19 vaccinations	0.0076
success	0.0076
